9240,-nan,-nan
9241,0.771429,0
9242,0.911765,0
9243,0.888889,0
9244,0.782609,0
9245,0.793103,0
9246,0.833333,0
9247,0.888889,0
9248,0.866667,0.315789
9249,0.814815,0.0434783
9250,0.787879,0.037037
9251,0.875,0
9252,0.727273,0
9253,0.814815,0.0434783
9254,0.9,0
9255,0.888889,0
9256,0.857143,0.04
9257,0.8,0
9258,0.8125,0
9259,0.6,0
9260,0.818182,0
