"","time"
"2138",7469
"2139",10174
"2140",10776
"2141",11458
"2142",12509
"2143",13111
"2144",14379
"2145",18556
"2146",19157
"2147",19759
"2148",23210
"2149",24468
"2150",25070
"2151",27127
"2152",29043
"2153",29817
"2154",30424
"2155",31128
"2156",32022
"2157",32647
"2158",33249
"2159",33861
"2160",34463
"2161",35065
"2162",7726
"2163",8328
"2164",8941
"2165",10313
"2166",11058
"2167",12893
"2168",13494
"2169",16145
"2170",16747
"2171",17695
"2172",18297
"2173",18984
"2174",26110
"2175",26737
"2176",27338
"2177",27942
"2178",29964
"2179",30998
"2180",31600
"2181",32367
"2182",2982
"2183",6166
"2184",6781
"2185",29374
"2186",29993
"2187",30595
"2188",31210
"2189",31854
"2190",32456
"2191",33058
"2192",33660
"2193",34531
"2194",8067
"2195",8670
"2196",9345
"2197",11676
"2198",14054
"2199",14929
"2200",15532
"2201",16134
"2202",16736
"2203",17339
"2204",18657
"2205",19752
"2206",20818
"2207",21419
"2208",22021
"2209",22623
"2210",25727
"2211",26482
"2212",27101
"2213",27703
"2214",28305
"2215",29682
