"","time"
"533",20325
"534",20926
"535",24863
"536",25464
"537",26156
"538",26773
"539",27374
"540",28152
"541",28900
"542",29502
"543",30104
"544",30707
"545",31310
"546",31923
"547",33096
"548",33698
"549",35158
"550",35759
"551",4000
"552",6090
"553",8371
"554",8973
"555",10862
"556",11463
"557",12068
"558",15910
"559",16512
"560",17114
"561",18576
"562",19800
"563",20402
"564",21004
"565",21606
"566",26143
"567",26787
"568",27439
"569",28054
"570",28845
"571",32036
"572",32640
"573",35170
"574",35772
"575",1907
"576",4031
"577",5290
"578",6235
"579",10253
"580",11143
"581",12378
"582",13711
"583",14346
"584",14948
"585",15549
"586",16151
"587",17046
"588",17725
"589",22736
"590",25893
"591",26496
"592",27118
"593",27747
"594",28349
"595",28951
"596",29573
"597",30175
"598",31281
"599",31885
"600",33125
"601",34014
"602",34727
"603",35330
"604",35934
"605",13049
"606",14297
"607",14900
"608",17040
"609",18255
"610",20735
"611",21843
"612",23232
"613",25087
"614",25691
"615",26469
"616",27366
"617",28280
"618",28883
"619",29485
"620",30228
"621",30829
"622",32821
"623",5020
"624",6647
"625",8229
"626",8832
"627",9571
"628",10279
"629",11287
"630",11991
"631",12630
"632",13791
"633",14543
"634",15907
"635",16689
"636",17293
"637",17895
"638",18497
"639",19100
"640",19742
"641",20779
"642",21381
"643",25612
"644",26215
"645",26899
"646",27670
"647",28273
"648",8194
"649",8797
"650",9401
"651",10004
"652",11335
"653",12290
"654",12954
"655",13564
"656",14166
"657",14770
"658",15371
"659",17482
"660",18092
"661",18694
"662",19454
"663",21191
"664",21793
"665",22420
"666",24231
"667",25370
"668",26649
"669",27252
"670",29168
"671",30359
"672",30980
"673",31582
"674",32542
"675",33144
"676",33746
"677",34361
"678",34985
"679",35587
"680",1982
"681",2584
"682",3799
"683",4401
"684",5003
"685",5669
"686",7508
"687",8110
"688",10940
"689",12048
"690",12666
"691",14303
"692",16010
"693",22686
"694",25514
"695",26378
"696",27192
"697",28229
"698",28832
"699",29434
"700",31232
"701",31998
"702",32600
"703",33202
"704",34638
"705",35293
"706",35897
"707",11865
"708",17538
"709",21037
"710",22823
"711",23424
"712",24027
"713",24629
"714",8827
"715",10039
"716",11331
"717",11935
"718",12708
"719",14201
"720",14805
"721",15406
"722",16008
"723",16651
"724",18233
"725",19332
"726",20029
"727",20631
"728",21233
"729",22718
"730",23320
"731",23923
"732",25993
"733",26743
"734",27344
"735",28463
"736",29589
"737",30422
"738",31023
"739",31966
"740",35370
"741",35972
"742",7888
"743",9286
"744",11413
"745",12228
"746",13060
"747",13664
"748",14655
"749",15257
"750",15860
"751",17137
"752",19122
"753",19724
"754",20509
"755",21111
"756",22184
"757",22980
"758",23581
"759",24183
"760",25183
"761",25784
"762",27030
"763",27634
"764",28453
"765",29119
"766",29899
"767",30541
"768",31143
"769",31945
"770",32547
"771",33149
"772",34917
"773",35519
"774",11067
"775",15950
"776",19936
"777",21297
"778",21899
"779",22876
"780",23477
"781",24079
"782",24905
"783",25506
"784",27324
"785",27939
"786",28541
"787",29145
"788",29749
"789",30920
"790",31521
"791",35601
"792",5378
"793",5980
"794",6582
"795",8312
"796",9097
"797",9698
"798",10672
"799",14053
"800",15288
"801",15929
"802",16530
"803",17158
"804",17833
"805",18478
"806",19079
"807",20276
"808",20945
"809",24248
"810",24850
"811",25813
"812",27741
"813",28382
"814",29028
"815",29629
"816",30232
"817",30890
"818",31511
"819",32282
"820",32952
"821",33553
"822",35164
"823",35840
"824",3702
"825",4955
"826",8133
"827",9473
"828",10315
"829",10917
"830",11709
"831",12420
"832",13097
"833",14319
"834",15102
"835",16499
"836",17501
"837",18123
"838",18724
"839",19326
"840",25475
"841",26646
"842",27256
"843",28502
"844",29500
"845",30247
"846",30927
"847",31762
"848",32363
"849",32965
"850",34259
"851",4014
"852",4615
"853",8567
"854",9170
"855",10262
"856",12568
"857",13812
"858",14677
"859",17686
"860",18666
"861",21358
"862",21960
"863",22614
"864",23218
"865",24232
"866",24867
"867",25627
"868",26595
"869",27260
"870",28012
"871",28788
"872",29501
"873",30144
"874",31832
"875",32434
"876",33036
"877",33639
"878",18114
"879",19483
"880",21151
"881",21753
"882",22356
"883",23265
"884",23867
"885",24469
"886",25084
"887",26604
"888",28849
"889",29548
"890",30149
"891",30759
"892",31362
"893",31973
"894",32953
"895",34090
"896",34691
"897",35295
"898",9881
"899",10743
"900",12122
"901",13803
"902",14405
"903",15988
"904",16843
"905",17481
"906",25747
"907",27169
"908",27793
"909",28395
"910",29027
"911",29629
"912",30231
"913",9321
"914",9922
"915",10705
"916",11324
"917",12649
"918",13842
"919",14443
"920",15049
"921",15651
"922",16253
"923",22222
"924",22827
"925",31856
"926",32582
"927",35357
"928",7524
"929",10732
"930",11392
"931",12756
"932",13567
"933",14172
"934",14775
"935",15376
"936",18545
"937",20478
"938",21080
"939",21929
"940",22531
"941",23180
"942",23784
"943",24588
"944",25429
"945",27910
"946",25110
"947",28337
"948",29018
"949",29912
"950",31462
"951",33592
"952",34194
"953",35506
"954",3037
"955",7797
"956",9194
"957",9796
"958",10509
"959",11604
"960",13662
"961",14306
"962",14908
"963",15967
"964",17214
"965",17816
"966",18783
"967",20667
"968",21998
"969",23090
"970",23691
"971",24308
"972",24910
"973",25526
"974",26960
"975",27728
"976",28331
"977",28932
"978",29534
"979",32730
"980",35705
"981",3270
"982",4206
"983",4807
"984",5409
"985",6011
"986",6614
"987",11547
"988",13617
"989",15217
"990",16011
"991",17319
"992",18256
"993",19024
"994",19626
"995",20228
"996",21223
"997",24391
"998",24994
"999",25597
"1000",26199
"1001",26803
"1002",28916
"1003",29520
"1004",30121
"1005",30723
"1006",31325
"1007",33131
"1008",33732
"1009",34335
"1010",35093
"1011",35772
"1012",4686
"1013",6088
"1014",8797
"1015",9855
"1016",10646
"1017",11680
"1018",12283
"1019",12885
"1020",13487
"1021",14335
"1022",14937
"1023",16720
"1024",17697
"1025",18298
"1026",18900
"1027",19503
"1028",20105
"1029",21113
"1030",21717
"1031",22318
"1032",23292
"1033",23893
"1034",24799
"1035",26118
"1036",27163
"1037",27766
"1038",28370
"1039",25350
"1040",25951
"1041",29192
"1042",31000
"1043",31605
"1044",32207
"1045",32822
"1046",34332
"1047",34944
"1048",14854
"1049",17165
"1050",17767
