Sample Size,Sample,ATestMemory_Percentage,ATestMemory_PercentageNorm,ATestFailure_Percentage,ATestFailure_PercentageNorm
90,2,0.484135802469136,0.515864197530864,0.50283950617284,0.50283950617284
90,3,0.428765432098765,0.571234567901235,0.485617283950617,0.514382716049383
90,4,0.459320987654321,0.540679012345679,0.499753086419753,0.500246913580247
90,5,0.450740740740741,0.549259259259259,0.480864197530864,0.519135802469136
90,6,0.448086419753086,0.551913580246914,0.461913580246914,0.538086419753086
90,7,0.524506172839506,0.524506172839506,0.488888888888889,0.511111111111111
90,8,0.390679012345679,0.609320987654321,0.513456790123457,0.513456790123457
90,9,0.452160493827161,0.547839506172839,0.453456790123457,0.546543209876543
90,10,0.459938271604938,0.540061728395062,0.525246913580247,0.525246913580247
90,11,0.487901234567901,0.512098765432099,0.485432098765432,0.514567901234568
90,12,0.407160493827161,0.59283950617284,0.531234567901235,0.531234567901235
90,13,0.440061728395062,0.559938271604938,0.501049382716049,0.501049382716049
90,14,0.443765432098765,0.556234567901235,0.468333333333333,0.531666666666667
90,15,0.432037037037037,0.567962962962963,0.506543209876543,0.506543209876543
90,16,0.520061728395062,0.520061728395062,0.479259259259259,0.520740740740741
90,17,0.471172839506173,0.528827160493827,0.488703703703704,0.511296296296296
90,18,0.431481481481481,0.568518518518519,0.511296296296296,0.511296296296296
90,19,0.495061728395062,0.504938271604938,0.464320987654321,0.535679012345679
90,20,0.475987654320988,0.524012345679012,0.491481481481482,0.508518518518518
100,2,0.49995,0.50005,0.49515,0.50485
100,3,0.42445,0.57555,0.4744,0.5256
100,4,0.46515,0.53485,0.4808,0.5192
100,5,0.4467,0.5533,0.4884,0.5116
100,6,0.4335,0.5665,0.4592,0.5408
100,7,0.51165,0.51165,0.4767,0.5233
100,8,0.4056,0.5944,0.5061,0.5061
100,9,0.46205,0.53795,0.4438,0.5562
100,10,0.47695,0.52305,0.5073,0.5073
100,11,0.48115,0.51885,0.4816,0.5184
100,12,0.43475,0.56525,0.52335,0.52335
100,13,0.438,0.562,0.50155,0.50155
100,14,0.4525,0.5475,0.47255,0.52745
100,15,0.43885,0.56115,0.5112,0.5112
100,16,0.5292,0.5292,0.48135,0.51865
100,17,0.4724,0.5276,0.4831,0.5169
100,18,0.4446,0.5554,0.4946,0.5054
100,19,0.50985,0.50985,0.46025,0.53975
100,20,0.4756,0.5244,0.48435,0.51565
110,2,0.507892561983471,0.507892561983471,0.503719008264463,0.503719008264463
110,3,0.436487603305785,0.563512396694215,0.478347107438017,0.521652892561983
110,4,0.483719008264463,0.516280991735537,0.485330578512397,0.514669421487603
110,5,0.458760330578512,0.541239669421488,0.479132231404959,0.520867768595041
110,6,0.448884297520661,0.551115702479339,0.471363636363636,0.528636363636364
110,7,0.513842975206611,0.513842975206611,0.471446280991736,0.528553719008265
110,8,0.426611570247934,0.573388429752066,0.505082644628099,0.505082644628099
110,9,0.49202479338843,0.50797520661157,0.447809917355372,0.552190082644628
110,10,0.479834710743802,0.520165289256198,0.50404958677686,0.50404958677686
110,11,0.486198347107438,0.513801652892562,0.495826446280992,0.504173553719008
110,12,0.444173553719008,0.555826446280992,0.519628099173554,0.519628099173554
110,13,0.461239669421488,0.538760330578512,0.505247933884298,0.505247933884298
110,14,0.47301652892562,0.52698347107438,0.483719008264463,0.516280991735537
110,15,0.449214876033058,0.550785123966942,0.507438016528926,0.507438016528926
110,16,0.536570247933884,0.536570247933884,0.474462809917355,0.525537190082645
110,17,0.49400826446281,0.50599173553719,0.48495867768595,0.51504132231405
110,18,0.442314049586777,0.557685950413223,0.502892561983471,0.502892561983471
110,19,0.526363636363636,0.526363636363636,0.472479338842975,0.527520661157025
110,20,0.485785123966942,0.514214876033058,0.485743801652893,0.514256198347107
