SampleSize,Set,Memory_Percentage,Failure_Percentage
90,3,0.764706,0
90,3,0.794872,0
90,3,0.807692,0
90,3,0.863636,0
90,3,0.88,0
90,3,0.740741,0.047619
90,3,0.814815,0
90,3,0.791667,0.05
90,3,0.724138,0.0869565
90,3,0.864865,0
90,3,0.827586,0
90,3,0.869565,0
90,3,0.833333,0
90,3,0.857143,0.04
90,3,0.708333,0.105263
90,3,0.730769,0
90,3,0.733333,0
90,3,0.764706,0.037037
90,3,0.925926,0.0384615
90,3,0.888889,0
90,3,0.820513,0.030303
90,3,0.923077,0
90,3,0.794118,0
90,3,0.846154,0
90,3,0.814815,0.0434783
90,3,0.857143,0.0322581
90,3,0.85,0.0285714
90,3,0.911765,0
90,3,0.833333,0.0384615
90,3,0.833333,0.0909091
90,3,0.84,0
90,4,0.931034,0
90,4,0.916667,0
90,4,0.909091,0
90,4,0.8,0
90,4,0.823529,0
90,4,0.777778,0.0454545
90,4,0.869565,0
90,4,0.88,0.0434783
90,4,0.764706,0
90,4,0.888889,0
90,4,0.863636,0
90,4,0.821429,0
90,4,0.807692,0
90,4,0.9,0
90,4,0.866667,0
90,4,0.862069,0
90,4,0.857143,0.04
90,4,0.666667,0
90,4,0.702703,0.037037
90,4,0.833333,0
90,4,0.83871,0
90,4,0.655172,0.05
90,4,0.83871,0
90,4,0.8125,0
90,4,0.857143,0
90,4,0.925926,0
90,4,0.862069,0
90,4,0.757576,0.0384615
90,4,0.864865,0
90,4,0.861111,0
90,4,0.787879,0.037037
90,4,0.882353,0.0625
90,4,0.736842,0
90,4,0.84375,0
90,4,0.851852,0
90,4,0.828571,0
90,4,0.777778,0.0344828
90,4,0.666667,0
90,4,0.833333,0
90,4,0.821429,0.0416667
90,4,0.888889,0
90,4,0.866667,0
90,4,0.846154,0.0294118
90,4,0.9,0.960294
90,4,0.833333,0.0322581
90,4,0.833333,0
90,4,0.90625,0
90,4,0.75,0
90,4,0.8,0
90,4,NA,NA
90,4,0.853659,0
90,4,0.777778,0
90,4,0.666667,0
90,4,0.758621,0
90,4,0.777778,0
90,4,0.892857,0
90,4,0.846154,0.0294118
90,4,0.864865,0
90,4,1,0
90,4,0.794118,0
90,4,0.862069,0.0384615
90,4,0.8,0
90,4,0.757576,0
90,4,0.833333,0
90,4,0.75,0
90,4,0.862069,0.0384615
90,4,0.8,0.0344828
90,4,0.871795,0
90,4,0.833333,0
90,4,0.8125,0.978879
90,4,0.736842,0
90,4,0.814815,0
90,4,0.787879,0
90,4,0.913043,0
90,4,0.837838,0.03125
90,4,0.833333,0.0909091
90,4,0.857143,0
90,4,0.794872,0.03125
90,4,0.769231,0
90,4,0.777778,0
90,4,0.733333,0
90,4,0.774194,0
90,4,0.6,0
90,4,0.789474,0.0625
90,4,0.8125,0
90,4,0.864865,0.030303
90,4,0.826087,0
90,4,0.814815,0
90,4,0.862069,0.107143
90,4,0.814815,0.0434783
90,5,0.870968,0
90,5,0.71875,0.08
90,5,0.931034,0
90,5,0.666667,0
90,5,0.869565,0
90,5,0.878788,0.985197
90,5,0.727273,0.111111
90,5,0.833333,0
90,5,0.818182,0
90,5,0.8,0
90,5,0.846154,0
90,5,0.863636,0
90,5,0.857143,0.027027
90,5,0.807692,0
90,5,NA,NA
90,5,0.863636,0
90,5,0.896552,0
