900,-nan,-nan
901,0.821429,0
902,0.833333,0
903,0.9,0
904,0.833333,0
905,0.918919,0
906,0.83871,0
907,0.794118,0
908,0.878788,0.0333333
909,0.758621,0.0434783
910,0.827586,0
911,0.705882,0.142857
912,0.909091,0
913,0.6,0
914,0.821429,0
915,0.666667,0
916,0.909091,0.0322581
917,0.8,0.2
918,0.8,0
919,0.727273,0
920,0.885714,0
