9920,-nan,-nan
9921,0.826087,0
9922,0.947368,0
9923,0.821429,0
9924,0.785714,0
9925,0.857143,0
9926,0.892857,0
9927,0.8125,0
9928,0.878788,0.09375
9929,0.911765,0
9930,0.894737,0
9931,0.914286,0.030303
9932,0.791667,0
9933,0.5,0
9934,0.809524,0
9935,0.76,0
9936,0.647059,0
9937,0.851852,0
9938,0.896552,0.037037
9939,0.869565,0.0909091
9940,0.793103,0.0416667
