7720,-nan,-nan
7721,0.857143,0
7722,0.807692,0.0454545
7723,0.85,0.0285714
7724,0.757576,0
7725,0.833333,0
7726,0.727273,0
7727,0.875,0.878788
7728,0.933333,0
7729,0.90625,0
7730,0.92,0
7731,0.766667,0.0416667
7732,0.882353,0
7733,0.695652,0
7734,0.878788,0
7735,0.853659,0
7736,0.9,0
7737,0.833333,0
7738,0.6,0.25
7739,0.8125,0
7740,0.884615,0
