3680,-nan,-nan
3681,0.8,0
3682,0.925926,0
3683,0.805556,0
3684,0.864865,0.030303
3685,0.885714,0
3686,0.833333,0
3687,0.72,0
3688,0.714286,0.0625
3689,0.783784,0.0333333
3690,0.5,0
3691,0.733333,0.12
3692,0.888889,0
3693,0.84375,0
3694,0.8,0.0344828
3695,0.810811,0
3696,0.772727,0.0555556
3697,0.878049,0.027027
3698,0.84,0
3699,-nan,-nan
3700,0.814815,0
