"","time","fault","ClassPer"
"236",6992,NA,68.2405
"237",7594,NA,98.9247
"238",9081,NA,91.8869
"239",9682,100,100
"240",10581,100,100
"241",12095,NA,69.6777
"242",13991,NA,70.9468
"243",14592,100,100
"244",15903,100,100
"245",16505,NA,94.7467
"246",17331,99,99
"247",18078,NA,99.5565
"248",20178,NA,73.4552
"249",21490,NA,99.7783
"250",22399,NA,99.2516
"251",23000,NA,69.9545
"252",23602,NA,82.3786
"253",26311,NA,73.4623
"254",27463,NA,85.1533
"255",28905,NA,98.9285
"256",29508,100,100
"257",30745,NA,99.2516
"258",31346,NA,86.1748
"259",33168,NA,90.012
"260",33772,NA,96.5105
"261",34374,NA,95.9836
"262",34977,NA,85.6065
"263",35579,NA,91.9635
"264",2593,NA,97.3113
"265",3806,NA,92.5025
"266",4408,NA,77.071
"267",5010,NA,75.3155
"268",7933,NA,95.7726
"269",8573,NA,99.3339
"270",11383,NA,98.3383
"271",13199,NA,95.8745
"272",13842,NA,82.6456
"273",14446,NA,99.3339
"274",15156,NA,97.234
"275",15759,NA,93.1958
"276",16764,NA,79.2024
"277",17366,NA,98.9749
"278",20869,NA,92.2902
"279",22267,NA,88.8313
"280",22871,NA,90.7694
"281",23472,NA,99.486
"282",24074,NA,87.9936
"283",26057,NA,98.6688
"284",26658,NA,99.6581
"285",27674,NA,99.3339
"286",28375,NA,97.0346
"287",29119,NA,99.1679
"288",29850,NA,99.5001
"289",33808,NA,92.3401
"290",3433,NA,99.7783
"291",7859,NA,78.6859
"292",9840,NA,83.8664
"293",10443,100,100
"294",11470,NA,99.1668
"295",12400,NA,84.5154
"296",13249,100,100
"297",13895,NA,99.6672
"298",14512,NA,96.2928
"299",15113,NA,73.0885
"300",17506,100,100
"301",31107,NA,83.4795
"302",2716,NA,72.2122
"303",12462,NA,71.6859
"304",14189,NA,98.9784
"305",14791,100,100
"306",16846,NA,94.5602
"307",17456,NA,87.8003
"308",18058,NA,93.253
"309",26051,NA,72.1205
"310",27970,NA,95.6688
"311",28729,NA,84.5154
"312",29332,100,100
"313",29934,100,100
"314",30896,NA,84.5667
"315",34841,NA,77.3326
"316",2129,NA,81.2715
"317",3344,NA,83.6331
"318",3946,NA,93.0827
"319",4548,NA,95.5091
"320",7657,NA,86.6067
"321",8469,100,100
"322",9857,99,99
"323",10459,100,100
"324",11061,NA,85.3769
"325",11705,NA,96.8561
"326",13913,NA,99.6672
"327",15142,NA,99.486
"328",15998,100,100
"329",17385,NA,67.1992
"330",18017,NA,99.7783
"331",18626,NA,92.104
"332",19227,100,100
"333",19986,NA,76.4276
"334",20629,NA,86.901
"335",21230,NA,98.8101
"336",21832,NA,69.6723
"337",23058,NA,79.2676
"338",23679,NA,96.1892
"339",24513,NA,99.7783
"340",25117,NA,99.3339
"341",25842,NA,94.2347
"342",26496,100,100
"343",28810,100,100
"344",29662,NA,98.9247
"345",30969,NA,94.9668
"346",31805,100,100
"347",32407,NA,93.1961
"348",33045,NA,88.3599
"349",33649,NA,99.6672
"350",35925,100,100
"351",2183,NA,92.9398
"352",6678,NA,75.6195
"353",7666,NA,98.347
"354",9042,NA,84.5154
"355",9815,100,100
"356",10417,NA,71.0826
"357",11108,NA,88.0873
"358",11960,100,100
"359",12563,NA,95.3871
"360",13503,NA,99.6672
"361",14226,NA,99.8335
"362",16108,NA,92.6952
"363",16710,100,100
"364",17432,NA,84.8821
"365",18403,NA,98.1668
"366",32089,NA,95.3581
"367",4921,NA,99.7783
"368",5696,NA,85.7069
"369",7735,NA,99.8335
"370",8336,NA,89.699
"371",9111,100,100
"372",9770,NA,97.3469
"373",11000,NA,98.9247
"374",12254,NA,71.9366
"375",13793,NA,98.0087
"376",15260,NA,83.666
"377",15863,100,100
"378",16466,NA,98.6361
"379",17068,100,100
"380",18514,NA,75.5148
"381",23141,NA,99.3174
"382",23744,NA,99.8288
"383",24653,NA,84.2424
"384",25807,100,100
"385",26411,NA,97.6714
"386",27142,NA,99.3333
"387",27743,NA,81.3291
"388",28345,100,100
"389",28991,NA,94.0931
"390",29595,NA,99.1668
"391",30799,NA,80.0251
"392",32787,NA,92.5388
"393",33389,NA,99.3153
"394",34251,NA,97.9589
"395",34853,NA,93.2219
"396",35455,NA,91.3562
"397",8927,NA,71.4286
"398",9728,NA,98.3985
"399",10964,NA,99.4681
"400",11566,NA,84.8995
"401",12170,NA,99.3355
"402",12771,100,100
"403",13402,NA,98.5111
"404",14052,100,100
"405",14722,NA,97.6802
"406",15323,NA,97.4448
"407",16112,NA,96.5759
