"","time"
"537",1497
"538",2802
"539",3622
"540",5637
"541",8870
"542",16885
"543",20512
"544",22524
"545",1098
"546",3575
"547",4435
"548",5684
"549",6462
"550",7074
"551",8312
"552",6547
"553",7161
"554",8050
"555",10889
"556",12047
"557",17248
"558",18037
"559",19077
"560",23978
"561",27057
"562",27764
"563",28978
"564",34288
"565",940
"566",1560
"567",2171
"568",12646
"569",14536
"570",18872
"571",21472
"572",26103
"573",28443
"574",828
"575",1651
"576",2967
"577",4180
"578",5036
"579",6165
"580",6777
"581",7968
"582",10085
"583",12958
"584",16975
"585",22677
"586",25096
"587",28319
"588",30729
"589",693
"590",1306
"591",1933
"592",3283
"593",6216
"594",7702
"595",17613
"596",20122
"597",25001
"598",30775
"599",1457
"600",14384
"601",15165
"602",15778
"603",18784
"604",19875
"605",21703
"606",25622
"607",28088
"608",30461
"609",34612
"610",5686
"611",6439
"612",7051
"613",9097
"614",24240
"615",25170
"616",28125
"617",31954
"618",659
"619",1336
"620",3015
"621",4729
"622",5344
"623",7817
"624",9353
"625",18363
"626",21091
"627",23482
"628",28991
"629",30510
"630",32928
"631",34151
"632",739
"633",1551
"634",2191
"635",2907
"636",4233
"637",9240
"638",13682
"639",28399
"640",35806
"641",662
"642",1523
"643",2136
"644",3544
"645",4523
"646",5304
"647",6012
"648",7903
"649",9198
"650",14936
"651",22099
"652",22711
"653",23864
"654",627
"655",16956
"656",17584
"657",18300
"658",20266
"659",22690
"660",27774
"661",31962
"662",33528
"663",843
"664",5398
"665",6012
"666",6777
"667",10571
"668",11592
"669",14437
"670",18724
"671",26427
"672",611
"673",1305
"674",1918
"675",5259
"676",5873
"677",6832
"678",21190
"679",22255
"680",25383
"681",26211
"682",28805
"683",29683
"684",35768
"685",26061
"686",26761
"687",27477
"688",28587
"689",1118
"690",2376
"691",4281
"692",4893
"693",5506
"694",6222
"695",6898
"696",12896
"697",27182
"698",35556
"699",5821
"700",6433
"701",7360
"702",8221
"703",9031
"704",10065
"705",17962
"706",21792
"707",22939
"708",32885
"709",33818
"710",2691
"711",3332
"712",5409
"713",6023
"714",8256
"715",17266
"716",19418
"717",21050
"718",26637
"719",1564
"720",2176
"721",2876
"722",3768
"723",5969
"724",6897
"725",935
"726",1547
"727",2161
"728",3054
"729",6041
"730",13200
"731",25132
"732",25774
"733",35625
"734",1099
"735",1711
"736",2926
"737",4982
"738",6954
"739",15524
"740",18558
"741",24473
"742",25255
"743",28297
"744",33005
"745",33796
"746",1519
"747",2158
"748",2836
"749",5288
"750",10381
"751",26489
"752",31502
"753",33625
"754",1344
"755",1957
"756",3594
"757",6194
"758",8212
"759",9278
"760",12383
"761",13714
"762",21864
"763",26710
"764",28869
"765",34550
"766",1355
"767",2063
"768",3069
"769",5182
"770",8004
"771",10913
"772",13343
"773",34763
"774",756
"775",1708
"776",2424
"777",3040
"778",6376
"779",15080
"780",26043
"781",1915
"782",2556
"783",5349
"784",6162
"785",11489
"786",13877
"787",31370
"788",941
"789",1553
"790",2165
"791",3492
"792",6099
"793",6812
"794",26472
