"","fault","ClassPer"
"334",4,86.901
"335",3,98.8101
"336",2,69.6723
"337",3,79.2676
"338",4,96.1892
"339",1,99.7783
"340",5,99.3339
"341",3,94.2347
"342",2,100
"343",6,100
"344",2,98.9247
"345",4,94.9668
"346",1,100
"347",3,93.1961
"348",2,88.3599
"349",3,99.6672
"350",1,100
"351",2,92.9398
"352",1,75.6195
"353",5,98.347
"354",1,84.5154
"355",6,100
"356",2,71.0826
"357",3,88.0873
"358",6,100
"359",2,95.3871
"360",5,99.6672
"361",4,99.8335
"362",4,92.6952
"363",3,100
"364",4,84.8821
"365",4,98.1668
"366",3,95.3581
"367",1,99.7783
"368",3,85.7069
"369",5,99.8335
"370",3,89.699
"371",3,100
"372",5,97.3469
"373",2,98.9247
"374",6,71.9366
"375",5,98.0087
"376",1,83.666
"377",2,100
"378",6,98.6361
"379",2,100
"380",2,75.5148
"381",6,99.3174
"382",3,99.8288
"383",4,84.2424
"384",6,100
"385",5,97.6714
"386",5,99.3333
"387",2,81.3291
"388",3,100
"389",6,94.0931
"390",5,99.1668
"391",6,80.0251
"392",6,92.5388
"393",6,99.3153
"394",6,97.9589
"395",3,93.2219
"396",2,91.3562
"397",1,71.4286
"398",2,98.3985
"399",2,99.4681
"400",2,84.8995
"401",4,99.3355
"402",2,100
"403",5,98.5111
"404",4,100
"405",5,97.6802
"406",3,97.4448
"407",6,96.5759
"408",2,100
"409",2,79.7309
"410",3,79.3077
"411",2,100
"412",6,82.6717
"413",2,84.8394
"414",2,93.3976
"415",4,79.1247
"416",1,95.9471
"417",6,73.9849
"418",5,100
"419",5,97.4994
"420",4,99.8335
"421",6,99.1449
"422",5,99.3355
"423",2,83.9595
"424",2,80.6631
"425",4,96.8498
"426",4,97.511
"427",4,95.879
"428",2,83.1951
"429",6,83.666
"430",4,99.6667
"431",2,96.4269
"432",4,99.8335
"433",3,81.6497
"434",4,77.6218
"435",3,77.7542
"436",2,95.9436
"437",2,79.1502
"438",2,93.5837
"439",1,99.7778
"440",6,100
"441",5,99.8335
"442",2,96.4269
"443",6,70.8382
"444",1,98.0314
"445",6,76.3429
"446",1,99.5565
"447",6,90.5537
"448",3,93.0482
"449",3,66.4726
"450",2,69.2364
"451",5,98.8346
"452",5,100
"453",1,73.5655
"454",2,85.6065
"455",2,91.0081
"456",5,99.5012
"457",3,96.2658
"458",3,97.3059
"459",4,85.9709
"460",3,89.4113
"461",6,93.8917
"462",1,69.1628
"463",4,72.7992
"464",2,98.4013
"465",3,93.5687
"466",4,88.4495
"467",3,94.8541
"468",2,99.4681
"469",3,88.5831
"470",3,91.8976
"471",3,98.6361
"472",3,94.2258
"473",4,99.5012
"474",5,99.1668
"475",1,99.8335
"476",5,96.8399
"477",5,100
"478",4,99.4401
"479",2,77.8104
"480",4,85.6813
"481",2,86.4565
"482",1,99.7783
"483",2,77.3554
"484",6,85.1267
"485",5,99.1679
"486",4,99.6667
"487",3,68.313
"488",2,75.2031
"489",3,100
"490",1,74.3968
"491",3,98.2988
"492",3,100
"493",2,93.2351
"494",3,99.3174
"495",2,81.5909
"496",2,84.1829
"497",6,87.1872
"498",1,94.2217
"499",6,99.486
"500",3,96.9576
"501",3,83.177
"502",2,91.3164
"503",2,100
"504",4,85.6365
"505",6,76.1978
"506",6,85.4194
"507",5,99.6667
"508",3,100
"509",3,68.313
"510",3,100
"511",5,99.5001
"512",4,83.7064
"513",6,99.4878
"514",2,98.9285
"515",4,98.3179
"516",4,79.8912
"517",4,90.7792
"518",3,78.7717
"519",1,68.313
"520",1,84.5154
"521",2,98.9247
"522",4,99.6667
"523",1,68.313
"524",5,99.6667
"525",1,98.8047
"526",5,97.8335
"527",6,84.2211
"528",1,100
"529",4,91.0078
"530",1,77.6575
"531",1,100
"532",4,91.2723
"533",4,93.448
"534",3,89.0863
"535",4,80.3832
"536",3,99.4875
"537",2,100
"538",4,99.8335
"539",2,77.7134
